PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(201, 221)",2,"(0, 1)","[(201, 221), (248, 58)]"
"(248, 58)",2,"(0, 4)","[(201, 221), (186, 178)]"
"(214, 77)",2,"(0, 7)","[(201, 221), (8, 34)]"
"(192, 94)",2,"(1, 2)","[(248, 58), (214, 77)]"
"(186, 178)",2,"(1, 5)","[(248, 58), (132, 50)]"
"(132, 50)",2,"(1, 7)","[(248, 58), (8, 34)]"
"(154, 132)",2,"(5, 7)","[(132, 50), (8, 34)]"
"(8, 34)",2,"(6, 7)","[(154, 132), (8, 34)]"
,3,"(0, 1, 2)","[(201, 221), (248, 58), (214, 77)]"
,3,"(0, 1, 4)","[(201, 221), (248, 58), (186, 178)]"
,3,"(0, 4, 6)","[(201, 221), (186, 178), (154, 132)]"
,3,"(0, 4, 7)","[(201, 221), (186, 178), (8, 34)]"
,3,"(0, 6, 7)","[(201, 221), (154, 132), (8, 34)]"
,3,"(1, 2, 3)","[(248, 58), (214, 77), (192, 94)]"
,3,"(1, 2, 5)","[(248, 58), (214, 77), (132, 50)]"
,3,"(1, 5, 7)","[(248, 58), (132, 50), (8, 34)]"
,3,"(2, 5, 7)","[(214, 77), (132, 50), (8, 34)]"
,3,"(3, 5, 7)","[(192, 94), (132, 50), (8, 34)]"
,3,"(5, 6, 7)","[(132, 50), (154, 132), (8, 34)]"
,4,"(0, 1, 2, 3)","[(201, 221), (248, 58), (214, 77), (192, 94)]"
,4,"(0, 1, 2, 4)","[(201, 221), (248, 58), (214, 77), (186, 178)]"
,4,"(0, 1, 4, 6)","[(201, 221), (248, 58), (186, 178), (154, 132)]"
,4,"(0, 3, 4, 6)","[(201, 221), (192, 94), (186, 178), (154, 132)]"
,4,"(0, 4, 6, 7)","[(201, 221), (186, 178), (154, 132), (8, 34)]"
,4,"(0, 5, 6, 7)","[(201, 221), (132, 50), (154, 132), (8, 34)]"
