PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(192, 180)",2,"(0, 1)","[(192, 180), (251, 80)]"
"(251, 80)",2,"(0, 4)","[(192, 180), (179, 118)]"
"(202, 84)",2,"(0, 5)","[(192, 180), (89, 115)]"
"(193, 89)",2,"(0, 7)","[(192, 180), (0, 71)]"
"(179, 118)",2,"(1, 2)","[(251, 80), (202, 84)]"
"(89, 115)",2,"(1, 7)","[(251, 80), (0, 71)]"
"(36, 86)",2,"(6, 7)","[(36, 86), (0, 71)]"
"(0, 71)",3,"(0, 1, 2)","[(192, 180), (251, 80), (202, 84)]"
,3,"(0, 1, 4)","[(192, 180), (251, 80), (179, 118)]"
,3,"(0, 4, 5)","[(192, 180), (179, 118), (89, 115)]"
,3,"(0, 5, 6)","[(192, 180), (89, 115), (36, 86)]"
,3,"(0, 5, 7)","[(192, 180), (89, 115), (0, 71)]"
,3,"(0, 6, 7)","[(192, 180), (36, 86), (0, 71)]"
,3,"(1, 2, 3)","[(251, 80), (202, 84), (193, 89)]"
,3,"(1, 2, 7)","[(251, 80), (202, 84), (0, 71)]"
,3,"(1, 6, 7)","[(251, 80), (36, 86), (0, 71)]"
,3,"(2, 6, 7)","[(202, 84), (36, 86), (0, 71)]"
,3,"(5, 6, 7)","[(89, 115), (36, 86), (0, 71)]"
,4,"(0, 1, 2, 3)","[(192, 180), (251, 80), (202, 84), (193, 89)]"
,4,"(0, 1, 2, 4)","[(192, 180), (251, 80), (202, 84), (179, 118)]"
,4,"(0, 1, 3, 4)","[(192, 180), (251, 80), (193, 89), (179, 118)]"
,4,"(0, 1, 4, 5)","[(192, 180), (251, 80), (179, 118), (89, 115)]"
,4,"(0, 3, 4, 5)","[(192, 180), (193, 89), (179, 118), (89, 115)]"
,4,"(0, 4, 5, 6)","[(192, 180), (179, 118), (89, 115), (36, 86)]"
,4,"(0, 5, 6, 7)","[(192, 180), (89, 115), (36, 86), (0, 71)]"
