PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(141, 17)",2,"(0, 1)","[(141, 17), (8, 192)]"
"(8, 192)",2,"(0, 4)","[(141, 17), (165, 91)]"
"(159, 218)",2,"(0, 7)","[(141, 17), (247, 238)]"
"(158, 165)",2,"(1, 2)","[(8, 192), (159, 218)]"
"(165, 91)",2,"(1, 7)","[(8, 192), (247, 238)]"
"(199, 178)",2,"(2, 7)","[(159, 218), (247, 238)]"
"(208, 174)",2,"(6, 7)","[(208, 174), (247, 238)]"
"(247, 238)",3,"(0, 1, 2)","[(141, 17), (8, 192), (159, 218)]"
,3,"(0, 1, 3)","[(141, 17), (8, 192), (158, 165)]"
,3,"(0, 1, 4)","[(141, 17), (8, 192), (165, 91)]"
,3,"(0, 3, 4)","[(141, 17), (158, 165), (165, 91)]"
,3,"(0, 4, 6)","[(141, 17), (165, 91), (208, 174)]"
,3,"(0, 4, 7)","[(141, 17), (165, 91), (247, 238)]"
,3,"(0, 6, 7)","[(141, 17), (208, 174), (247, 238)]"
,3,"(1, 2, 3)","[(8, 192), (159, 218), (158, 165)]"
,3,"(1, 2, 7)","[(8, 192), (159, 218), (247, 238)]"
,3,"(2, 5, 7)","[(159, 218), (199, 178), (247, 238)]"
,3,"(2, 6, 7)","[(159, 218), (208, 174), (247, 238)]"
,3,"(5, 6, 7)","[(199, 178), (208, 174), (247, 238)]"
,4,"(0, 1, 2, 3)","[(141, 17), (8, 192), (159, 218), (158, 165)]"
,4,"(0, 1, 3, 4)","[(141, 17), (8, 192), (158, 165), (165, 91)]"
,4,"(0, 3, 4, 6)","[(141, 17), (158, 165), (165, 91), (208, 174)]"
,4,"(0, 4, 5, 6)","[(141, 17), (165, 91), (199, 178), (208, 174)]"
,4,"(0, 4, 6, 7)","[(141, 17), (165, 91), (208, 174), (247, 238)]"
,4,"(0, 5, 6, 7)","[(141, 17), (199, 178), (208, 174), (247, 238)]"
