PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(43, 14)",2,"(0, 1)","[(43, 14), (114, 237)]"
"(114, 237)",2,"(0, 5)","[(43, 14), (133, 131)]"
"(123, 235)",2,"(0, 7)","[(43, 14), (213, 109)]"
"(136, 241)",2,"(1, 2)","[(114, 237), (123, 235)]"
"(132, 204)",2,"(1, 3)","[(114, 237), (136, 241)]"
"(133, 131)",2,"(2, 3)","[(123, 235), (136, 241)]"
"(141, 132)",2,"(3, 7)","[(136, 241), (213, 109)]"
"(213, 109)",2,"(6, 7)","[(141, 132), (213, 109)]"
,3,"(0, 1, 2)","[(43, 14), (114, 237), (123, 235)]"
,3,"(0, 1, 5)","[(43, 14), (114, 237), (133, 131)]"
,3,"(0, 5, 6)","[(43, 14), (133, 131), (141, 132)]"
,3,"(0, 5, 7)","[(43, 14), (133, 131), (213, 109)]"
,3,"(0, 6, 7)","[(43, 14), (141, 132), (213, 109)]"
,3,"(1, 2, 3)","[(114, 237), (123, 235), (136, 241)]"
,3,"(2, 3, 7)","[(123, 235), (136, 241), (213, 109)]"
,3,"(3, 4, 7)","[(136, 241), (132, 204), (213, 109)]"
,3,"(3, 6, 7)","[(136, 241), (141, 132), (213, 109)]"
,3,"(5, 6, 7)","[(133, 131), (141, 132), (213, 109)]"
,4,"(0, 1, 2, 3)","[(43, 14), (114, 237), (123, 235), (136, 241)]"
,4,"(0, 1, 2, 4)","[(43, 14), (114, 237), (123, 235), (132, 204)]"
,4,"(0, 1, 2, 5)","[(43, 14), (114, 237), (123, 235), (133, 131)]"
,4,"(0, 1, 5, 6)","[(43, 14), (114, 237), (133, 131), (141, 132)]"
,4,"(0, 4, 5, 6)","[(43, 14), (132, 204), (133, 131), (141, 132)]"
,4,"(0, 5, 6, 7)","[(43, 14), (133, 131), (141, 132), (213, 109)]"
