PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(243, 230)",2,"(0, 1)","[(243, 230), (220, 139)]"
"(220, 139)",2,"(0, 4)","[(243, 230), (173, 186)]"
"(12, 26)",2,"(0, 7)","[(243, 230), (124, 224)]"
"(172, 172)",2,"(1, 2)","[(220, 139), (12, 26)]"
"(173, 186)",2,"(2, 6)","[(12, 26), (111, 183)]"
"(152, 190)",2,"(2, 7)","[(12, 26), (124, 224)]"
"(111, 183)",2,"(6, 7)","[(111, 183), (124, 224)]"
"(124, 224)",3,"(0, 1, 2)","[(243, 230), (220, 139), (12, 26)]"
,3,"(0, 1, 3)","[(243, 230), (220, 139), (172, 172)]"
,3,"(0, 1, 4)","[(243, 230), (220, 139), (173, 186)]"
,3,"(0, 4, 7)","[(243, 230), (173, 186), (124, 224)]"
,3,"(0, 5, 7)","[(243, 230), (152, 190), (124, 224)]"
,3,"(0, 6, 7)","[(243, 230), (111, 183), (124, 224)]"
,3,"(1, 2, 3)","[(220, 139), (12, 26), (172, 172)]"
,3,"(1, 2, 6)","[(220, 139), (12, 26), (111, 183)]"
,3,"(2, 3, 6)","[(12, 26), (172, 172), (111, 183)]"
,3,"(2, 5, 6)","[(12, 26), (152, 190), (111, 183)]"
,3,"(2, 6, 7)","[(12, 26), (111, 183), (124, 224)]"
,3,"(5, 6, 7)","[(152, 190), (111, 183), (124, 224)]"
,4,"(0, 1, 2, 3)","[(243, 230), (220, 139), (12, 26), (172, 172)]"
,4,"(0, 1, 3, 4)","[(243, 230), (220, 139), (172, 172), (173, 186)]"
,4,"(0, 1, 4, 7)","[(243, 230), (220, 139), (173, 186), (124, 224)]"
,4,"(0, 4, 5, 7)","[(243, 230), (173, 186), (152, 190), (124, 224)]"
,4,"(0, 5, 6, 7)","[(243, 230), (152, 190), (111, 183), (124, 224)]"
