PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(65, 164)",2,"(0, 1)","[(65, 164), (81, 181)]"
"(81, 181)",2,"(0, 7)","[(65, 164), (56, 90)]"
"(200, 155)",2,"(1, 2)","[(81, 181), (200, 155)]"
"(155, 118)",2,"(2, 3)","[(200, 155), (155, 118)]"
"(157, 87)",2,"(2, 4)","[(200, 155), (157, 87)]"
"(131, 75)",2,"(4, 5)","[(157, 87), (131, 75)]"
"(75, 130)",2,"(5, 7)","[(131, 75), (56, 90)]"
"(56, 90)",2,"(6, 7)","[(75, 130), (56, 90)]"
,3,"(0, 1, 2)","[(65, 164), (81, 181), (200, 155)]"
,3,"(0, 1, 6)","[(65, 164), (81, 181), (75, 130)]"
,3,"(0, 1, 7)","[(65, 164), (81, 181), (56, 90)]"
,3,"(0, 6, 7)","[(65, 164), (75, 130), (56, 90)]"
,3,"(1, 2, 3)","[(81, 181), (200, 155), (155, 118)]"
,3,"(2, 3, 4)","[(200, 155), (155, 118), (157, 87)]"
,3,"(2, 4, 5)","[(200, 155), (157, 87), (131, 75)]"
,3,"(3, 4, 5)","[(155, 118), (157, 87), (131, 75)]"
,3,"(4, 5, 7)","[(157, 87), (131, 75), (56, 90)]"
,3,"(5, 6, 7)","[(131, 75), (75, 130), (56, 90)]"
,4,"(0, 1, 2, 3)","[(65, 164), (81, 181), (200, 155), (155, 118)]"
,4,"(0, 1, 2, 6)","[(65, 164), (81, 181), (200, 155), (75, 130)]"
,4,"(0, 1, 6, 7)","[(65, 164), (81, 181), (75, 130), (56, 90)]"
,4,"(0, 5, 6, 7)","[(65, 164), (131, 75), (75, 130), (56, 90)]"
