PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(232, 31)",2,"(0, 1)","[(232, 31), (23, 76)]"
"(23, 76)",2,"(0, 5)","[(232, 31), (145, 102)]"
"(68, 113)",2,"(0, 7)","[(232, 31), (135, 225)]"
"(107, 98)",2,"(1, 2)","[(23, 76), (68, 113)]"
"(117, 103)",2,"(1, 7)","[(23, 76), (135, 225)]"
"(145, 102)",2,"(2, 7)","[(68, 113), (135, 225)]"
"(119, 134)",2,"(6, 7)","[(119, 134), (135, 225)]"
"(135, 225)",3,"(0, 1, 2)","[(232, 31), (23, 76), (68, 113)]"
,3,"(0, 1, 3)","[(232, 31), (23, 76), (107, 98)]"
,3,"(0, 1, 5)","[(232, 31), (23, 76), (145, 102)]"
,3,"(0, 3, 5)","[(232, 31), (107, 98), (145, 102)]"
,3,"(0, 4, 5)","[(232, 31), (117, 103), (145, 102)]"
,3,"(0, 5, 7)","[(232, 31), (145, 102), (135, 225)]"
,3,"(0, 6, 7)","[(232, 31), (119, 134), (135, 225)]"
,3,"(1, 2, 3)","[(23, 76), (68, 113), (107, 98)]"
,3,"(1, 2, 7)","[(23, 76), (68, 113), (135, 225)]"
,3,"(2, 6, 7)","[(68, 113), (119, 134), (135, 225)]"
,3,"(5, 6, 7)","[(145, 102), (119, 134), (135, 225)]"
,4,"(0, 1, 2, 3)","[(232, 31), (23, 76), (68, 113), (107, 98)]"
,4,"(0, 1, 3, 4)","[(232, 31), (23, 76), (107, 98), (117, 103)]"
,4,"(0, 1, 3, 5)","[(232, 31), (23, 76), (107, 98), (145, 102)]"
,4,"(0, 3, 4, 5)","[(232, 31), (107, 98), (117, 103), (145, 102)]"
,4,"(0, 4, 5, 6)","[(232, 31), (117, 103), (145, 102), (119, 134)]"
,4,"(0, 4, 5, 7)","[(232, 31), (117, 103), (145, 102), (135, 225)]"
,4,"(0, 5, 6, 7)","[(232, 31), (145, 102), (119, 134), (135, 225)]"
