PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(238, 193)",2,"(0, 1)","[(238, 193), (83, 21)]"
"(83, 21)",2,"(0, 5)","[(238, 193), (144, 209)]"
"(10, 110)",2,"(0, 6)","[(238, 193), (138, 225)]"
"(75, 143)",2,"(0, 7)","[(238, 193), (129, 234)]"
"(100, 162)",2,"(1, 2)","[(83, 21), (10, 110)]"
"(144, 209)",2,"(2, 3)","[(10, 110), (75, 143)]"
"(138, 225)",2,"(2, 7)","[(10, 110), (129, 234)]"
"(129, 234)",2,"(6, 7)","[(138, 225), (129, 234)]"
,3,"(0, 1, 2)","[(238, 193), (83, 21), (10, 110)]"
,3,"(0, 1, 3)","[(238, 193), (83, 21), (75, 143)]"
,3,"(0, 1, 4)","[(238, 193), (83, 21), (100, 162)]"
,3,"(0, 1, 5)","[(238, 193), (83, 21), (144, 209)]"
,3,"(0, 5, 6)","[(238, 193), (144, 209), (138, 225)]"
,3,"(0, 6, 7)","[(238, 193), (138, 225), (129, 234)]"
,3,"(1, 2, 3)","[(83, 21), (10, 110), (75, 143)]"
,3,"(2, 3, 4)","[(10, 110), (75, 143), (100, 162)]"
,3,"(2, 3, 7)","[(10, 110), (75, 143), (129, 234)]"
,3,"(2, 6, 7)","[(10, 110), (138, 225), (129, 234)]"
,3,"(5, 6, 7)","[(144, 209), (138, 225), (129, 234)]"
,4,"(0, 1, 2, 3)","[(238, 193), (83, 21), (10, 110), (75, 143)]"
,4,"(0, 1, 3, 4)","[(238, 193), (83, 21), (75, 143), (100, 162)]"
,4,"(0, 1, 4, 5)","[(238, 193), (83, 21), (100, 162), (144, 209)]"
,4,"(0, 1, 5, 6)","[(238, 193), (83, 21), (144, 209), (138, 225)]"
,4,"(0, 5, 6, 7)","[(238, 193), (144, 209), (138, 225), (129, 234)]"
