Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(24, 238)","(0, 1)",01 - B,01010101,12
"(91, 229)","(0, 7)",01 - B,10101010,
"(243, 195)","(1, 2)",10 - B,,
"(208, 194)","(2, 3)",01 - B,,
"(191, 183)","(2, 7)",01 - B,,
"(177, 185)","(4, 7)",01 - B,,
"(106, 180)","(6, 7)",01 - B,,
"(16, 17)","(0, 1, 2, 3)",0101 - B,,
,"(0, 1, 3, 6)",0110 - B,,
,"(0, 1, 5, 6)",0110 - B,,
,"(0, 1, 6, 7)",0101 - B,,
,"(0, 5, 6, 7)",0101 - B,,
