Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(129, 214)","(0, 1)",01 - B,01010101,12
"(161, 220)","(0, 7)",01 - B,10101010,
"(207, 200)","(1, 2)",10 - B,,
"(231, 36)","(2, 3)",01 - B,,
"(210, 35)","(3, 4)",10 - B,,
"(132, 149)","(4, 7)",01 - B,,
"(63, 122)","(6, 7)",01 - B,,
"(24, 123)","(0, 1, 2, 3)",0101 - B,,
,"(0, 1, 2, 5)",0101 - B,,
,"(0, 1, 2, 7)",0101 - B,,
,"(0, 1, 6, 7)",0101 - B,,
,"(0, 5, 6, 7)",0101 - B,,
