Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(19, 8)","(0, 1)",01 - B,01010101,12
"(10, 22)","(0, 7)",01 - B,10101010,
"(184, 251)","(1, 2)",10 - B,,
"(179, 211)","(2, 3)",01 - B,,
"(171, 180)","(2, 7)",01 - B,,
"(151, 132)","(6, 7)",01 - B,,
"(207, 54)","(0, 1, 2, 3)",0101 - B,,
"(246, 15)","(0, 1, 2, 5)",0101 - B,,
,"(0, 1, 4, 5)",0101 - B,,
,"(0, 1, 5, 6)",0110 - B,,
,"(0, 1, 6, 7)",0101 - B,,
,"(0, 5, 6, 7)",0101 - B,,
