Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(99, 21)","(0, 1)",01 - B,01010101,12
"(10, 200)","(0, 5)",01 - B,10101010,
"(23, 235)","(0, 7)",01 - B,,
"(36, 208)","(1, 2)",10 - B,,
"(92, 156)","(2, 3)",01 - B,,
"(150, 108)","(2, 7)",01 - B,,
"(156, 111)","(6, 7)",01 - B,,
"(245, 67)","(0, 1, 2, 3)",0101 - B,,
,"(0, 1, 3, 4)",0110 - B,,
,"(0, 1, 4, 5)",0101 - B,,
,"(0, 1, 5, 6)",0110 - B,,
,"(0, 5, 6, 7)",0101 - B,,
