Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(176, 208)","(0, 1)",01 - B,01010101,12
"(242, 179)","(0, 7)",01 - B,10101010,
"(250, 121)","(1, 2)",10 - B,,
"(230, 77)","(2, 3)",01 - B,,
"(32, 41)","(3, 4)",10 - B,,
"(58, 106)","(4, 5)",01 - B,,
"(54, 135)","(4, 7)",01 - B,,
"(6, 188)","(6, 7)",01 - B,,
,"(0, 1, 2, 3)",0101 - B,,
,"(0, 1, 2, 7)",0101 - B,,
,"(0, 1, 6, 7)",0101 - B,,
,"(0, 5, 6, 7)",0101 - B,,
