Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(114, 4)","(0, 1)",01 - B,01010101,12
"(40, 106)","(0, 7)",01 - B,10101010,
"(17, 251)","(1, 2)",10 - B,,
"(36, 210)","(2, 3)",01 - B,,
"(106, 211)","(2, 7)",01 - B,,
"(172, 208)","(6, 7)",01 - B,,
"(198, 204)","(0, 1, 2, 3)",0101 - B,,
"(239, 223)","(0, 1, 3, 4)",0110 - B,,
,"(0, 1, 3, 6)",0110 - B,,
,"(0, 1, 5, 6)",0110 - B,,
,"(0, 1, 6, 7)",0101 - B,,
,"(0, 5, 6, 7)",0101 - B,,
