Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(136, 34)","(0, 1)",01 - B,01010101,12
"(60, 33)","(0, 7)",01 - B,10101010,
"(78, 247)","(1, 2)",10 - B,,
"(105, 202)","(2, 3)",01 - B,,
"(123, 182)","(2, 7)",01 - B,,
"(144, 165)","(6, 7)",01 - B,,
"(170, 150)","(0, 1, 2, 3)",0101 - B,,
"(195, 141)","(0, 1, 3, 4)",0110 - B,,
,"(0, 1, 4, 5)",0101 - B,,
,"(0, 1, 5, 6)",0110 - B,,
,"(0, 1, 6, 7)",0101 - B,,
,"(0, 5, 6, 7)",0101 - B,,
