Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(177, 55)","(0, 1)",01 - B,01010101,12
"(20, 177)","(0, 3)",01 - B,10101010,
"(82, 170)","(0, 7)",01 - B,,
"(128, 121)","(1, 2)",10 - B,,
"(81, 201)","(1, 4)",10 - B,,
"(109, 172)","(4, 5)",01 - B,,
"(168, 127)","(4, 7)",01 - B,,
"(250, 113)","(6, 7)",01 - B,,
,"(0, 1, 2, 3)",0101 - B,,
,"(0, 1, 3, 6)",0110 - B,,
,"(0, 3, 6, 7)",0101 - B,,
,"(0, 5, 6, 7)",0101 - B,,
