Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(28, 151)","(0, 1)",01 - B,01010101,12
"(223, 178)","(0, 5)",01 - B,10101010,
"(226, 148)","(0, 7)",01 - B,,
"(235, 126)","(1, 2)",10 - B,,
"(254, 101)","(1, 4)",10 - B,,
"(26, 129)","(3, 4)",10 - B,,
"(20, 108)","(4, 7)",01 - B,,
"(1, 78)","(6, 7)",01 - B,,
,"(0, 1, 2, 3)",0101 - B,,
,"(0, 1, 2, 5)",0101 - B,,
,"(0, 1, 5, 6)",0110 - B,,
,"(0, 5, 6, 7)",0101 - B,,
