Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(220, 243)","(0, 1)",01 - B,01010101,12
"(221, 3)","(0, 5)",01 - B,10101010,
"(40, 95)","(0, 7)",01 - B,,
"(82, 153)","(1, 2)",10 - B,,
"(92, 178)","(2, 3)",01 - B,,
"(188, 235)","(2, 7)",01 - B,,
"(168, 234)","(4, 7)",01 - B,,
"(101, 252)","(6, 7)",01 - B,,
,"(0, 1, 2, 3)",0101 - B,,
,"(0, 1, 2, 5)",0101 - B,,
,"(0, 1, 5, 6)",0110 - B,,
,"(0, 5, 6, 7)",0101 - B,,
