Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(218, 48)","(0, 1)",01 - B,01010101,12
"(157, 54)","(0, 7)",01 - B,10101010,
"(88, 66)","(1, 2)",10 - B,,
"(76, 72)","(2, 3)",01 - B,,
"(61, 90)","(3, 4)",10 - B,,
"(13, 177)","(4, 5)",01 - B,,
"(55, 210)","(5, 6)",10 - B,,
"(243, 53)","(6, 7)",01 - B,,
,"(0, 1, 2, 3)",0101 - B,,
,"(0, 1, 2, 7)",0101 - B,,
,"(0, 1, 6, 7)",0101 - B,,
,"(0, 5, 6, 7)",0101 - B,,
