Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(255, 106)","(0, 1)",01 - B,01010101,12
"(36, 12)","(0, 5)",01 - B,10101010,
"(1, 102)","(0, 7)",01 - B,,
"(27, 120)","(1, 2)",10 - B,,
"(49, 130)","(2, 3)",01 - B,,
"(223, 121)","(2, 7)",01 - B,,
"(110, 223)","(6, 7)",01 - B,,
"(103, 243)","(0, 1, 2, 3)",0101 - B,,
,"(0, 1, 2, 5)",0101 - B,,
,"(0, 1, 4, 5)",0101 - B,,
,"(0, 1, 5, 6)",0110 - B,,
,"(0, 5, 6, 7)",0101 - B,,
