Point_Set,Feasible_Set_Indices_2set_4set,Index_Colors_2set_4set,Complete_Set_Color,Total_Balanced
"(60, 225)","(0, 1)",01 - B,01010101,12
"(76, 231)","(0, 7)",01 - B,10101010,
"(207, 183)","(1, 2)",10 - B,,
"(176, 177)","(2, 3)",01 - B,,
"(143, 165)","(2, 7)",01 - B,,
"(91, 197)","(4, 7)",01 - B,,
"(71, 182)","(6, 7)",01 - B,,
"(16, 25)","(0, 1, 2, 3)",0101 - B,,
,"(0, 1, 2, 5)",0101 - B,,
,"(0, 1, 5, 6)",0110 - B,,
,"(0, 1, 6, 7)",0101 - B,,
,"(0, 5, 6, 7)",0101 - B,,
